state,name,city,ownership,admissionCapacity,hospitalBeds
A & N Islands,"Andaman & Nicobar Islands Insitute of Medical Sciences, Port Blair",Port Blair,Govt.,100,460
Andhra Pradesh,ACSR Government Medical College Nellore,Nellore,Govt.,150,750
Andhra Pradesh,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",Eluru,Trust,150,1070
Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Visakhapatnam,Govt.,200,2017
Andhra Pradesh,"Apollo Institute of Medical Sciences and Research, Chittoor",Chittoor,Society,150,0
Andhra Pradesh,"Dr. P.S.I. Medical College , Chinoutpalli",Chinoutpalli,Trust,150,398
Andhra Pradesh,"Fathima Instt. of Medical Sciences, Kadapa",Kadapa,Trust,100,450
Andhra Pradesh,Gayathri Vidya Parishad Inst. of Health Care & Med. Tech. Visakhapatnam,Visakhapatnam,Society,150,0
Andhra Pradesh,"GITAM Institute of Medical Sciences and Research, Visakhapatam",Visakhapatanam,University,150,0
Andhra Pradesh,"Government Medical College, Anantapuram",Anantapurram,Govt.,100,500
Andhra Pradesh,"Government Siddhartha Medical College, Vijaywada",Vijaywada,Govt.,150,412
Andhra Pradesh,"Great Eastern Medical School and Hospital,Srikakulam",Srikakulam,Trust,100,350
Andhra Pradesh,"GSL Medical College, Rajahmundry",Rajahmundry,Trust,200,1000
Andhra Pradesh,"Guntur Medical College, Guntur",Guntur,Govt.,200,1277
Andhra Pradesh,"Katuri Medical College, Guntur",Guntur,Trust,150,900
Andhra Pradesh,"Konaseema Institute of Med. Sci. & Research Foundation, Amalapuram",Amalapuram,Trust,150,879
Andhra Pradesh,"Kurnool Medical College, Kurnool",Kurnool,Govt.,200,1050
Andhra Pradesh,"Maharajah Institute of Medical Sciences, Vizianagaram",Vizianagaram,Trust,150,1050
Andhra Pradesh,"Narayana Medical College, Nellore",Nellore,Trust,250,1550
Andhra Pradesh,"Nimra Institute of Medical Sciences, Krishna Dist.",Krishna Dist.,Society,0,0
Andhra Pradesh,"NRI Institute of Medical Sciences, Visakhapatnam",Visakhapatnam,Trust,150,360
Andhra Pradesh,"NRI Medical College, Guntur",Guntur,Trust,150,1000
Andhra Pradesh,"P E S Institute Of Medical Sciences and Research, Kuppam",Kuppam,Trust,150,750
Andhra Pradesh,"Rajiv Gandhi Institute of Medical Sciences, Kadapa",Kadapa,Govt.,150,750
Andhra Pradesh,"Rajiv Gandhi Institute of Medical Sciences, Srikakulam",Srikakulam,Govt.,100,300
Andhra Pradesh,"Rajiv Gandhi Institute of Medical Sciences,Ongole, AP",Ongole,Govt.,100,300
Andhra Pradesh,"Rangaraya Medical College, Kakinada",Kakinada,Govt.,200,1085
Andhra Pradesh,"RVS Institute of Medical Sciences, Chittoor",Chittoor,Society,0,0
Andhra Pradesh,"S V Medical College, Tirupati",Tirupati,Govt.,200,862
Andhra Pradesh,"Santhiram Medical College, Nandyal",Nandyal,Trust,100,700
Andhra Pradesh,"SVIM-Sri Padmavathi Medical College for Women, Alipiri Road, Tirupati",Tirupati,Govt.,150,650
Andhra Pradesh,"Viswabharathi Medical College, Kurnool",Kurnool,Society,150,0
Assam,"Assam Medical College, Dibrugarh",Dibrugarh,Govt.,170,1365
Assam,"Fakhruddin Ali Ahmed Medical College, Barpeta, Assam","Barpeta,",Govt-Society,100,500
Assam,"Gauhati Medical College, Guwahati",Guwahati,Govt.,156,1982
Assam,"Jorhat Medical College & Hospital , Jorhat",Jorhat,Govt.,100,400
Assam,"Silchar Medical College, Silchar",Silchar,Govt.,100,906
Assam,"Tezpur Medical College & Hospital, Tezpur",Tezpur,Govt.,100,500
Tripura,"Agartala Government Medical College,Agartala",Agartala,Govt.,100,695
Tripura,"Tripura Medical College and Dr. B R A M Teaching Hospital, Agartala",Agartala,Trust,100,500
Punjab,"Adesh Institute of Medical Sciences & Research, Bhatinda",Bhatinda,Trust,150,700
Punjab,"Christian Medical College, Ludhiana",Ludhiana,Trust,75,650
Punjab,"Dayanand Medical College & Hospital, Ludhiana",Ludhiana,Trust,100,1048
Punjab,"Government Medical College, Amritsar",Amritsar,Govt.,200,1091
Punjab,"Government Medical College, Patiala",Patiala,Govt.,200,1106
Punjab,"Guru Govind Singh Medical College, Faridkot",Faridkot,Govt.,100,500
Punjab,"Punjab Institute of Medical Sciences, Jalandhar",Jalandhar,Trust,150,500
